today,36
twenty years,19
the next twenty years,9
daily,6
these days,3
fifteen years,3
50 years ago,2
some day,2
the day,2
the days,2
one day,2
each year,2
twenty years later,2
every day,2
some years ago,2
7,2
years,2
this days,2
2008,1
last month,1
working day,1
the current day,1
about it years ago,1
summer,1
many years ago,1
the year two thousand,1
twenty years ago,1
more than a month,1
every morning,1
all day,1
that month,1
everyday,1
six hours,1
many hours,1
three years,1
this month,1
those twenty years,1
olden days,1
the nineteenth century,1
two years,1
noon,1
their days,1
the best days,1
about the days,1
hundreds of years ago,1
weeks,1
months,1
the 18th century,1
every weekend,1
the whole week,1
recent years,1
about 75 year old,1
my college days,1
many months or years,1
8,1
9,1
the age of almost eighty years,1
the next twenety years,1
next 40 and 60 years,1
the end of the,1
our day,1
the coming twenty years,1
about 20 years,1
only fifteen years,1
last many years,1
the centuries,1
the years,1
an exhausting day,1
their weekends,1
a year,1
now days,1
